"Season","Age","Tm","Lg","Pos","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","player","ID"
"2020-21",21,"MIA","NBA","PF",61,737,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4,13.5,19.5,0.3,1,1.3,0.085,-3.6,-0.5,-4.1,-0.4,"Precious Achiuwa","achiupr01"
"2020-21",27,"NOP","NBA","C",58,1605,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4,0.119,-0.4,0.1,-0.3,0.7,"Steven Adams","adamsst01"
"2020-21",23,"MIA","NBA","C",64,2143,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,5.6,3.2,8.8,0.197,2.9,2,4.9,3.7,"Bam Adebayo","adebaba01"
"2020-21",22,"NOP","NBA","SG",46,1007,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1,0.7,0.035,-1.4,0.1,-1.3,0.2,"Nickeil Alexander-Walker","alexani01"
"2020-21",25,"MEM","NBA","SG",50,1259,12.8,0.586,0.662,0.22,1.6,12,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6,"Grayson Allen","allengr01"
"2020-21",22,"TOT","NBA","C",63,1864,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,"Jarrett Allen","allenja01"
"2020-21",22,"BRK","NBA","C",12,320,21.5,0.73,0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,1,0.5,1.4,0.216,1.7,0.9,2.6,0.4,"Jarrett Allen","allenja01"
"2020-21",22,"CLE","NBA","C",51,1544,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,3.4,1.6,5,0.155,1.2,-0.4,0.8,1.1,"Jarrett Allen","allenja01"
"2020-21",27,"MEM","NBA","PF",69,1887,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5,"Kyle Anderson","anderky01"
"2020-21",26,"MIL","NBA","PF",61,2013,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9,5.6,"Giannis Antetokounmpo","antetgi01"
"2020-21",28,"MIL","NBA","SF",57,551,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2,"Thanasis Antetokounmpo","antetth01"
"2020-21",20,"ORL","NBA","PG",47,1273,12.1,0.496,0.312,0.237,3,15.4,9,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0,-0.001,-1.9,-1.4,-3.3,-0.4,"Cole Anthony","anthoco01"
"2020-21",23,"TOR","NBA","SF",43,1433,15.4,0.605,0.503,0.197,4,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2,"OG Anunoby","anunoog01"
"2020-21",26,"CHI","NBA","PG",44,450,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1,0,7.4,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0,"Ryan Arcidiacono","arcidry01"
"2020-21",20,"WAS","NBA","SF",54,1257,7.6,0.515,0.538,0.144,1.9,20.2,11,6.3,1.2,1,9,12,0,1.2,1.2,0.046,-3.6,0.4,-3.1,-0.4,"Deni Avdija","avdijde01"
"2020-21",22,"PHO","NBA","C",69,2115,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1,3.4,11.9,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7,"Deandre Ayton","aytonde01"
"2020-21",21,"UTA","NBA","C",15,57,10.3,0.597,0,1.111,7.8,16,12.1,0,0.9,5.7,18.3,12.4,0,0.1,0.1,0.119,-5.5,1.7,-3.8,0,"Udoka Azubuike","azubuud01"
"2020-21",21,"SAC","NBA","PF",43,1112,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059,-0.4,-2.7,-3.1,-0.3,"Marvin Bagley III","baglema01"
"2020-21",19,"CHO","NBA","PG",51,1469,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1,1.9,2.8,0.093,1.1,0.7,1.8,1.4,"LaMelo Ball","ballla01"
"2020-21",22,"ORL","NBA","C",46,725,19.3,0.556,0.392,0.219,10.5,28,19,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.117,0.2,0,0.1,0.4,"Mo Bamba","bambamo01"
"2020-21",22,"MEM","NBA","SG",68,1519,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.6,-0.2,-0.8,0.5,"Desmond Bane","banede01"
"2020-21",28,"SAC","NBA","PF",58,2102,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,4,0.5,4.5,0.103,1.5,-1.3,0.2,1.1,"Harrison Barnes","barneha02"
"2020-21",20,"NYK","NBA","SG",72,2511,13.4,0.535,0.292,0.26,3,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,"RJ Barrett","barrerj01"
"2020-21",30,"DEN","NBA","SF",56,1736,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19,0.7,1.5,2.2,0.061,-1,-0.8,-1.9,0.1,"Will Barton","bartowi01"
"2020-21",25,"SAS","NBA","SF",30,245,12,0.518,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,0.1,0.3,0.3,0.068,-2.3,0.4,-1.9,0,"Keita Bates-Diop","bateske01"
"2020-21",32,"LAC","NBA","SF",67,1835,12.9,0.617,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5,0.132,0.6,1.5,2.1,1.9,"Nicolas Batum","batumni01"
"2020-21",20,"OKC","NBA","PF",55,1714,9.7,0.491,0.414,0.258,3.1,21.2,12,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.3,-4.4,-1,"Darius Bazley","bazleda01"
"2020-21",27,"WAS","NBA","SG",60,2147,22.7,0.593,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9,"Bradley Beal","bealbr01"
"2020-21",24,"MIN","NBA","SG",37,1214,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24,0.9,0.4,1.3,0.053,1.6,-1.8,-0.2,0.6,"Malik Beasley","beaslma01"
"2020-21",28,"WAS","NBA","PF",57,1464,11.4,0.62,0.895,0.241,1.3,10.8,6.1,4.4,1,0.7,5.9,15.9,2.1,1,3.1,0.101,0.3,-1.1,-0.8,0.4,"Dāvis Bertāns","bertada01"
"2020-21",32,"LAC","NBA","PG",37,832,12,0.58,0.641,0.205,4,11.8,8,12,1.7,3,12.4,14.6,1,1,2.1,0.119,-0.7,1.4,0.7,0.6,"Patrick Beverley","beverpa01"
"2020-21",21,"DET","NBA","SF",70,1909,12.6,0.567,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,1.6,1.7,3.3,0.082,0.3,-0.8,-0.5,0.7,"Saddiq Bey","beysa01"
"2020-21",28,"TOT","NBA","C",67,1529,15.1,0.552,0.137,0.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,2.3,1.4,3.8,0.118,-1,0.1,-1,0.4,"Khem Birch","birchkh01"
"2020-21",28,"ORL","NBA","C",48,952,14.1,0.517,0.1,0.407,12.3,14.2,13.2,8,1.6,2.7,8.5,12.2,1.3,0.8,2.1,0.106,-1.7,0.1,-1.6,0.1,"Khem Birch","birchkh01"
"2020-21",28,"TOR","NBA","C",19,577,16.9,0.596,0.181,0.257,10.5,17.2,13.7,9.4,1.3,3.8,9.9,15.8,1.1,0.6,1.7,0.138,0.1,0,0.1,0.3,"Khem Birch","birchkh01"
"2020-21",21,"IND","NBA","C",45,561,16.3,0.523,0.407,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,0.7,0.8,1.5,0.129,-2,1,-1,0.1,"Goga Bitadze","bitadgo01"
"2020-21",28,"CHO","NBA","C",66,1349,11.7,0.574,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,0.9,1.4,2.3,0.081,-3.4,0.4,-3,-0.4,"Bismack Biyombo","biyombi01"
"2020-21",28,"ATL","NBA","SG",44,1305,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,0.142,3.3,0.3,3.6,1.8,"Bogdan Bogdanović","bogdabo01"
