"Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","player","ID"
"2020-21",21,"MIA","NBA","PF","61","4","12.1","2","3.7","0.544","0","0","0","2","3.7","0.546","0.544","0.9","1.8","0.509","1.2","2.2","3.4","0.5","0.3","0.5","0.7","1.5","5","Precious Achiuwa","achiupr01"
"2020-21",27,"NOP","NBA","C","58","58","27.7","3.3","5.3","0.614","0","0.1","0","3.3","5.3","0.62","0.614","1","2.3","0.444","3.7","5.2","8.9","1.9","0.9","0.7","1.3","1.9","7.6","Steven Adams","adamsst01"
"2020-21",23,"MIA","NBA","C","64","64","33.5","7.1","12.5","0.57","0","0.1","0.25","7.1","12.4","0.573","0.571","4.4","5.5","0.799","2.2","6.7","9","5.4","1.2","1","2.6","2.3","18.7","Bam Adebayo","adebaba01"
"2020-21",22,"NOP","NBA","SG","46","13","21.9","4.2","10","0.419","1.7","4.8","0.347","2.5","5.2","0.485","0.502","1","1.4","0.727","0.3","2.8","3.1","2.2","1","0.5","1.5","1.9","11","Nickeil Alexander-Walker","alexani01"
"2020-21",25,"MEM","NBA","SG","50","38","25.2","3.5","8.3","0.418","2.1","5.5","0.391","1.3","2.8","0.471","0.547","1.6","1.8","0.868","0.4","2.8","3.2","2.2","0.9","0.2","1","1.4","10.6","Grayson Allen","allengr01"
"2020-21",22,"TOT","NBA","C","63","45","29.6","4.7","7.7","0.618","0.1","0.3","0.316","4.6","7.3","0.631","0.624","3.2","4.6","0.703","3.1","6.9","10","1.7","0.5","1.4","1.6","1.5","12.8","Jarrett Allen","allenja01"
"2020-21",22,"BRK","NBA","C","12","5","26.7","3.7","5.4","0.677","0","0",NA,"3.7","5.4","0.677","0.677","3.8","5.1","0.754","3.2","7.3","10.4","1.7","0.6","1.6","1.8","1.8","11.2","Jarrett Allen","allenja01"
"2020-21",22,"CLE","NBA","C","51","40","30.3","5","8.2","0.609","0.1","0.4","0.316","4.9","7.8","0.623","0.616","3.1","4.5","0.69","3.1","6.8","9.9","1.7","0.5","1.4","1.5","1.5","13.2","Jarrett Allen","allenja01"
"2020-21",27,"MEM","NBA","PF","69","69","27.3","4.5","9.5","0.468","1.4","3.8","0.36","3.1","5.8","0.539","0.54","2.1","2.7","0.783","0.8","5","5.7","3.6","1.2","0.8","1.2","1.7","12.4","Kyle Anderson","anderky01"
"2020-21",26,"MIL","NBA","PF","61","61","33","10.3","18","0.569","1.1","3.6","0.303","9.2","14.4","0.636","0.6","6.5","9.5","0.685","1.6","9.4","11","5.9","1.2","1.2","3.4","2.8","28.1","Giannis Antetokounmpo","antetgi01"
"2020-21",28,"MIL","NBA","SF","57","3","9.7","1.2","2.4",".489","0.1","0.5",".241","1.1","1.9",".556",".515","0.4","0.9",".510","0.9","1.2","2.2","0.8","0.4","0.2","0.8","1.3","2.9","Thanasis Antetokounmpo","antetth01"
"2020-21",20,"ORL","NBA","PG","47","34","27.1","4.7","11.7","0.397","1.2","3.7","0.337","3.4","8.1","0.424","0.449","2.3","2.8","0.832","0.8","3.9","4.7","4.1","0.6","0.4","2.3","2.1","12.9","Cole Anthony","anthoco01"
"2020-21",23,"TOR","NBA","SF","43","43","33.3","5.8","12.1","0.48","2.4","6.1","0.398","3.4","6","0.562","0.58","1.9","2.4","0.784","1.3","4.3","5.5","2.2","1.5","0.7","1.7","2.7","15.9","OG Anunoby","anunoog01"
"2020-21",26,"CHI","NBA","PG","44","0","10.2","1.1","2.7","0.419","0.6","1.5","0.373","0.5","1.1","0.48","0.526","0.3","0.5","0.65","0.1","1.4","1.5","1.3","0.2","0","0.2","1.1","3.1","Ryan Arcidiacono","arcidry01"
"2020-21",20,"WAS","NBA","SF","54","32","23.3","2.4","5.8","0.417","1","3.1","0.315","1.4","2.7","0.535","0.502","0.5","0.8","0.644","0.4","4.4","4.9","1.2","0.6","0.3","0.6","2.6","6.3","Deni Avdija","avdijde01"
"2020-21",22,"PHO","NBA","C","69","69","30.7","6.2","10","0.626","0.1","0.3","0.2","6.2","9.7","0.639","0.629","1.9","2.5","0.769","3.3","7.2","10.5","1.4","0.6","1.2","1.5","2.8","14.4","Deandre Ayton","aytonde01"
"2020-21",21,"UTA","NBA","C","15","0","3.8","0.3","0.6","0.444","0","0",NA,"0.3","0.6","0.444","0.444","0.5","0.7","0.8","0.3","0.6","0.9","0","0.1","0.3","0.2","0.6","1.1","Udoka Azubuike","azubuud01"
"2020-21",21,"SAC","NBA","PF","43","42","25.9","5.7","11.4","0.504","0.9","2.5","0.343","4.9","8.9","0.55","0.542","1.8","3.1","0.575","2.5","4.9","7.4","1","0.5","0.5","1.4","2.3","14.1","Marvin Bagley III","baglema01"
"2020-21",19,"CHO","NBA","PG","51","31","28.8","5.7","13.2","0.436","1.8","5.1","0.352","3.9","8.1","0.489","0.504","2.5","3.2","0.758","1.2","4.7","5.9","6.1","1.6","0.4","2.8","2.7","15.7","LaMelo Ball","ballla01"
"2020-21",22,"ORL","NBA","C","46","5","15.8","3.1","6.5","0.472","0.8","2.6","0.322","2.3","4","0.568","0.535","1","1.4","0.682","1.7","4.1","5.8","0.8","0.3","1.3","0.8","1.9","8","Mo Bamba","bambamo01"
"2020-21",22,"MEM","NBA","SG","68","17","22.3","3.4","7.3","0.469","1.7","4","0.432","1.7","3.4","0.513","0.586","0.6","0.7","0.816","0.5","2.6","3.1","1.7","0.6","0.2","0.9","1.8","9.2","Desmond Bane","banede01"
"2020-21",28,"SAC","NBA","PF","58","58","36.2","5.5","11.1","0.497","1.7","4.4","0.391","3.8","6.7","0.567","0.575","3.4","4.1","0.83","1.1","5.5","6.6","3.5","0.7","0.2","1.6","1.3","16.1","Harrison Barnes","barneha02"
"2020-21",20,"NYK","NBA","SG","72","72","34.9","6.5","14.7","0.441","1.7","4.3","0.401","4.8","10.4","0.457","0.499","2.9","3.8","0.746","0.9","4.8","5.8","3","0.7","0.3","1.9","2.6","17.6","RJ Barrett","barrerj01"
"2020-21",30,"DEN","NBA","SF","56","52","31","4.6","10.9","0.426","1.8","4.6","0.381","2.9","6.3","0.459","0.507","1.7","2.2","0.785","0.7","3.3","4","3.2","0.9","0.4","1.7","1.7","12.7","Will Barton","bartowi01"
"2020-21",25,"SAS","NBA","SF","30","0","8.2","1","2.2","0.448","0.2","0.6","0.294","0.8","1.7","0.5","0.485","0.5","0.7","0.667","0.3","1.3","1.6","0.4","0.4","0.2","0.2","0.4","2.6","Keita Bates-Diop","bateske01"
"2020-21",32,"LAC","NBA","SF","67","38","27.4","2.9","6.1","0.464","1.6","4.1","0.404","1.2","2.1","0.579","0.597","0.7","0.9","0.828","0.7","4","4.7","2.2","1","0.6","0.8","1.5","8.1","Nicolas Batum","batumni01"
"2020-21",20,"OKC","NBA","PF","55","55","31.2","5","12.5","0.396","1.5","5.2","0.29","3.5","7.3","0.47","0.456","2.3","3.2","0.702","0.9","6.3","7.2","1.8","0.5","0.5","2.2","1.1","13.7","Darius Bazley","bazleda01"
"2020-21",27,"WAS","NBA","SG","60","60","35.8","11.2","23","0.485","2.2","6.2","0.349","9","16.8","0.535","0.532","6.8","7.7","0.889","1.2","3.5","4.7","4.4","1.2","0.4","3.1","2.3","31.3","Bradley Beal","bealbr01"
"2020-21",24,"MIN","NBA","SG","37","36","32.8","7.1","16.2","0.44","3.5","8.7","0.399","3.7","7.5","0.487","0.547","1.8","2.2","0.85","0.8","3.6","4.4","2.4","0.8","0.2","1.6","1.7","19.6","Malik Beasley","beaslma01"
"2020-21",28,"WAS","NBA","PF","57","7","25.7","3.4","8.4","0.404","3","7.5","0.395","0.4","0.9","0.48","0.581","1.8","2","0.87","0.3","2.6","2.9","0.9","0.6","0.2","0.6","2.4","11.5","Dāvis Bertāns","bertada01"
"2020-21",32,"LAC","NBA","PG","37","34","22.5","2.5","5.9",".423","1.5","3.8",".397","1.0","2.1",".468",".550","1.0","1.2",".800","0.8","2.4","3.2","2.1","0.8","0.8","0.9","2.9","7.5","Patrick Beverley","beverpa01"
"2020-21",21,"DET","NBA","SF","70","53","27.3","4","9.9","0.404","2.5","6.6","0.38","1.5","3.3","0.45","0.53","1.8","2.1","0.844","0.6","3.9","4.5","1.4","0.7","0.2","0.9","1.6","12.2","Saddiq Bey","beysa01"
"2020-21",28,"TOT","NBA","C","67","22","22.8","2.8","5.7","0.497","0.2","0.8","0.25","2.6","4.9","0.537","0.514","1.4","1.9","0.705","2.6","3.2","5.8","1.3","0.7","0.7","0.7","1.7","7.2","Khem Birch","birchkh01"
"2020-21",28,"ORL","NBA","C","48","5","19.8","2","4.4","0.45","0.1","0.4","0.19","1.9","3.9","0.479","0.459","1.3","1.8","0.741","2.4","2.6","5.1","1.1","0.7","0.6","0.5","1.4","5.3","Khem Birch","birchkh01"
"2020-21",28,"TOR","NBA","C","19","17","30.4","5","9","0.556","0.5","1.6","0.29","4.5","7.4","0.614","0.582","1.5","2.3","0.636","3","4.6","7.6","1.9","0.8","1.2","1.1","2.4","11.9","Khem Birch","birchkh01"
"2020-21",21,"IND","NBA","C","45","3","12.5","1.8","4.3","0.428","0.4","1.8","0.253","1.4","2.6","0.548","0.479","1","1.4","0.738","1.3","2","3.3","0.8","0.2","1.3","0.4","2.1","5.1","Goga Bitadze","bitadgo01"
